香港岛 Hong Kong island,55653,9107,71547,11891
中西區 Central & Western,10077,1667,12434,2140
灣仔 Wan Chai,10431,1890,14501,2367
東區 Easter,19837,3469,25589,4227
南區 Southem,15308,2071,19023,3157
九龙 Kowloon,101198,17956,120797,20138
深水埗 Sham Shui Po,19715,3419,22854,3879
油尖旺 Yau Tsim Mong,12059,2380,14761,2384
九龍城 Kowlcon City,29015,4960,35602,5869
黃大仙 Wong Tai Sin,15315,2865,18330,3062
觀焙 Kwun Tong,25094,4332,29250,4944
新界 New Territories,164311,29272,196146,32577
荃湾 Tsuen Wan,8725,2079,10290,1699
屯門 Tuen Mun,21976,3915,26602,4433
元朗 Yuen Long,27690, ,32389,5298
北區 North,17374,3166,19619,3489
大埔 Tai Po,13773,2658,16505,2758
沙田 Sha Tin,32217,5075,38475,6196
西頁 Sai Kung,16810,2778,21584,3630
離島 Islands,5782,1282,7357,1180
葵青 Kwai Tsing,19964,3086,23325,3894
